No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
19,디이엔티,DE&T ,South Korea,C3.655 ,InterBattery Europe,"노칭 장비, 유지부커팅, DNC, Laser Slitting, 통합 비전 ","Laser/Press Notching, Uncoated Cutting, DNC, Laser Slitting, Total Vision"
20,네오배터리머티리얼즈 코리아,Neo Battery Materials Korea ,South Korea,C3.730 ,InterBattery Europe,리튬이차전지용 실리콘 음극재 ,Silicon anode for Lithium-ion Battery
21,구미시청,GUMICO ,South Korea,C3.651 ,InterBattery Europe,구미 국가산업단지 투자환경 안내 ,Information on investment environment for Gumi National Industrial Complex
22,나래나노텍 ,NARAENANOTECH ,South Korea,C3.736,InterBattery Europe,배터리 전극 코터 ,Battery Electrode Coater
23,강원에너지 ,"KANGWON ENERGY CO,. Ltd.",South Korea,C3.550,InterBattery Europe,"고속에어제트밀, 전기히터건조기, PD믹서기, 전자석탈철기","Air jet mil, PD Mixer, Electric heater dryer, Electro magnet filter"
24,자인에너지,ZAIN ENERGY Inc. ,South Korea,C3.556,InterBattery Europe,"리튬이온배터리셀, 전해질 첨가제, 전극 바인더, 고분자전해질","Lithium ion battery, Electrolyte additives, binder, polymer electrolyte"
25,에스앤이리서치,SNE RESEARCH ,South Korea,C3.552 ,InterBattery Europe,"시장 조사 리포트, 데이터베이스 서비스, 컨설팅 서비스","Market Research Report, Database Service, Consulting Service"
26,에프디씨 ,"FDC Co., Ltd. ",South Korea,C3.540,InterBattery Europe,배터리 에너지 저장 시스템,Battery Energy Storage System
27,와이엠텍,"YM TECH CO., LTD",South Korea,C3.735,InterBattery Europe,EV 릴레이 ,EV Relay
28,에버인더스,Everindus Inc.,South Korea,C3.554,InterBattery Europe,이차전지 소재 ,Secondary Battery Material
29,한국수출입은행 ,The Export-Import Bank of Korea ,South Korea,C3.654,InterBattery Europe,금융상담 제공 ,Financial Consulting
