No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
57,"Shenzhen Minglida Precision Technology Co., Ltd.","Shenzhen Minglida Precision Technology Co., Ltd.",China,C3.770 ,InterBattery Europe,,"Solar storage mechanical parts, Solar inverter mechanical parts"
58,"Jiangxi SinNET Electronics Technologies Co.,Ltd ","Jiangxi SinNET Electronics Technologies Co.,Ltd ",China,C3.575 ,InterBattery Europe,,Household energy storage systems
59,"Huizhou Carku Technology Co., Ltd","Huizhou Carku Technology Co., Ltd ",China,C3.679 ,InterBattery Europe,,Portable Power Station
60,"Zhonghai Chao ( hebei ) New Energy Technology Co.,Ltd","Zhonghai Chao ( hebei ) New Energy Technology Co.,Ltd. ",China,C3.580,InterBattery Europe,,Home Energy Storage-1、2、4、8kWh; Energy Storage Cabinet&Container
61,"Guangzhou HYNER Energy Co., Ltd.","Guangzhou HYNER Energy Co., Ltd.",China,C3.750,InterBattery Europe,,"ESS Module, ESS Cabinet, ALL-IN-ONE ESS, ESS Container"
62,"Nanjing Ifusion Technology Co.,Ltd","Nanjing Ifusion Technology Co.,Ltd.",China,C3.762 ,InterBattery Europe,,ENERGY STORAGE BATTERY
63,ANHUI SHENGXIN ALUMINIUM CORPORATION LIMITED ,ANHUI SHENGXIN ALUMINIUM CORPORATION LIMITED,China,C3.775,InterBattery Europe,,ALUMINIUM PROFILES FOR SOLAR
64,"Zhejiang Sinopont Technology Co., Ltd. ","Zhejiang Sinopont Technology Co., Ltd.",China,C3.783 ,InterBattery Europe,,"high-end functional films, pure POE, EVA, and white film"
65,"Haicen Antech Power (Qingdao) Co., Ltd.","Haicen Antech Power (Qingdao) Co., Ltd. ",China,C3.782 ,InterBattery Europe,,Lithium Battery
66,"Jiangxi Ruiwei New Energy Co.,Ltd. ","Jiangxi Ruiwei New Energy Co.,Ltd. ",China,C3.472,InterBattery Europe,,Lead acid battery
67,"Shenzhen Jieyo Technology Co., Ltd","Shenzhen Jieyo Technology Co., Ltd",China,C3.476 ,InterBattery Europe,,"portable power station, energy storage system, li-ion battery, Ni-MH battery"
68,"Guangdong QianWei Precision Connector Co.,Ltd.","Guangdong QianWei Precision Connector Co.,Ltd.",China,C3.675,InterBattery Europe,,Terminals
69,"HomSolar (Shenzhen) Technology Co., Ltd.","HomSolar (Shenzhen) Technology Co., Ltd.",China,C3.677,InterBattery Europe,,Storage Energy Battery
70,"JIANGXI OYF VEHICLE INDUSTRY CO., LTD","JIANGXI OYF VEHICLE INDUSTRY CO., LTD ",China,C3.574,InterBattery Europe,,"Lithium-ion battery for vehicles, residential buildings, outdoor"
71,"Spaceflight Power Supply Co., Ltd ","Spaceflight Power Supply Co., Ltd ",China,C3.576 ,InterBattery Europe,,"Lead acid battery, lithium battery"
72,"Ostar Power Technology Co., Ltd.","Ostar Power Technology Co., Ltd. ",China,C3.772 ,InterBattery Europe,,Batteries
73,"Jiangxi Yudian New Energy Technology Co., Ltd","Jiangxi Yudian New Energy Technology Co., Ltd.",China,C3.774 ,InterBattery Europe,,"Small portable power banks and household energy storage products, battery production"
74,"Jiangsu Guoning Power Cable Co., Ltd ","Jiangsu Guoning Power Cable Co., Ltd ",China,C3.758,InterBattery Europe,,solar cable & control cable
75,"Q-SUN (NANJING) CO., LTD.","Q-SUN (NANJING) CO., LTD.",China,C3.776 ,InterBattery Europe,,Energy Storage system
76,"SHENZHEN GRT COMMUNICATION SCIENCE & TECHNOLOGY CO.,LTD ","SHENZHEN GRT COMMUNICATION SCIENCE & TECHNOLOGY CO.,LTD ",China,C3.756,InterBattery Europe,,"Flexible copper foil, Laminated Busbar, Copper connectors"
77,"Ningbo Duopower New Energy Electrical Technology CO., LTD ","Ningbo Duopower New Energy Electrical Technology CO., LTD ",China,C3.780 ,InterBattery Europe,,Portable Power Station
78,"Jiangxi Wannianxin Micro-Electronics Co.,Ltd","Jiangxi Wannianxin Micro-Electronics Co.,Ltd ",China,C3.754 ,InterBattery Europe,,"UPS Energy Storage Power Supply, All-in-One residential Energy Storage Power Supply, Pure Sine Wave Solar Inverter"
79,"Hubei XYC New Energy CO.,LTD.","Hubei XYC New Energy CO.,LTD. ",China,C3.760 ,InterBattery Europe,,"Lithium battery, Commerical Energy-storage, Home Energy-storage"
80,"HUANGHUA GUNTER HARDWARE CO., LTD","HUANGHUA GUNTER HARDWARE CO., LTD ",China,C3.778,InterBattery Europe,,portable power station
